time,vertex,state,state_id,buffer_occupation,production_step
12,5,blocked,1,0.0,1
12,12,blocked,1,0.0,1
12,2,working,2,0.0,2
12,8,working,2,0.0,2
12,9,blocked,1,0.0,2
12,13,blocked,1,0.0,2
12,14,blocked,1,0.0,2
12,3,working,2,0.0,3
12,6,working,2,0.0,3
13,0,working,2,0.0,0
13,7,blocked,1,0.0,0
13,10,blocked,1,0.0,0
13,11,blocked,1,0.0,0
13,1,working,2,0.0,1
13,4,working,2,0.0,1
13,5,working,2,0.0,1
13,12,blocked,1,0.0,1
13,2,working,2,0.0,2
13,8,working,2,0.0,2
13,9,blocked,1,0.0,2
13,13,blocked,1,0.0,2
13,14,blocked,1,0.0,2
13,3,working,2,0.0,3
13,6,working,2,0.0,3
14,0,working,2,0.0,0
14,7,working,2,0.0,0
14,10,blocked,1,0.0,0
14,11,blocked,1,0.0,0
14,1,working,2,0.0,1
14,4,working,2,0.0,1
14,5,blocked,1,0.0,1
14,12,blocked,1,0.0,1
14,2,working,2,0.0,2
14,8,blocked,1,0.0,2
14,9,blocked,1,0.0,2
14,13,blocked,1,0.0,2
14,14,blocked,1,0.0,2
14,3,working,2,0.0,3
14,6,working,2,0.0,3
15,0,working,2,0.0,0
15,7,working,2,0.0,0
15,10,working,2,0.0,0
15,11,blocked,1,0.0,0
15,1,working,2,0.0,1
15,4,blocked,1,0.0,1
15,5,blocked,1,0.0,1
15,12,blocked,1,0.0,1
15,2,working,2,0.0,2
15,8,blocked,1,0.0,2
15,9,blocked,1,0.0,2
15,13,blocked,1,0.0,2
15,14,blocked,1,0.0,2
15,3,working,2,0.0,3
15,6,working,2,0.0,3
16,0,working,2,0.0,0
16,7,blocked,1,0.0,0
16,10,blocked,1,0.0,0
16,11,blocked,1,0.0,0
16,1,working,2,0.0,1
16,4,blocked,1,0.0,1
16,5,blocked,1,0.0,1
16,12,blocked,1,0.0,1
16,2,working,2,0.0,2
16,8,working,2,0.0,2
16,9,blocked,1,0.0,2
16,13,blocked,1,0.0,2
16,14,blocked,1,0.0,2
16,3,working,2,0.0,3
16,6,working,2,0.0,3
17,0,working,2,0.0,0
17,7,blocked,1,0.0,0
17,10,blocked,1,0.0,0
17,11,blocked,1,0.0,0
17,1,working,2,0.0,1
17,4,working,2,0.0,1
17,5,working,2,0.0,1
17,12,blocked,1,0.0,1
17,2,working,2,0.0,2
17,8,working,2,0.0,2
17,9,blocked,1,0.0,2
17,13,blocked,1,0.0,2
17,14,blocked,1,0.0,2
17,3,working,2,0.0,3
17,6,working,2,0.0,3
18,0,working,2,0.0,0
18,7,working,2,0.0,0
18,10,working,2,0.0,0
18,11,blocked,1,0.0,0
18,1,working,2,0.0,1
18,4,working,2,0.0,1
18,5,blocked,1,0.0,1
18,12,blocked,1,0.0,1
18,2,working,2,0.0,2
18,8,working,2,0.0,2
18,9,blocked,1,0.0,2
18,13,blocked,1,0.0,2
18,14,blocked,1,0.0,2
18,3,working,2,0.0,3
18,6,working,2,0.0,3
19,0,working,2,0.0,0
19,7,working,2,0.0,0
19,10,blocked,1,0.0,0
19,11,blocked,1,0.0,0
19,1,working,2,0.0,1
19,4,working,2,0.0,1
19,5,blocked,1,0.0,1
19,12,blocked,1,0.0,1
19,2,working,2,0.0,2
19,8,working,2,0.0,2
19,9,blocked,1,0.0,2
19,13,blocked,1,0.0,2
19,14,blocked,1,0.0,2
19,3,working,2,0.0,3
19,6,working,2,0.0,3
20,0,working,2,0.0,0
20,7,working,2,0.0,0
20,10,blocked,1,0.0,0
20,11,blocked,1,0.0,0
20,1,working,2,0.0,1
20,4,working,2,0.0,1
20,5,blocked,1,0.0,1
20,12,blocked,1,0.0,1
20,2,working,2,0.0,2
20,8,blocked,1,0.0,2
20,9,blocked,1,0.0,2
20,13,blocked,1,0.0,2
20,14,blocked,1,0.0,2
20,3,working,2,0.0,3
20,6,working,2,0.0,3
21,0,working,2,0.0,0
21,7,working,2,0.0,0
21,10,blocked,1,0.0,0
21,11,blocked,1,0.0,0
21,1,working,2,0.0,1
21,4,blocked,1,0.0,1
21,5,blocked,1,0.0,1
21,12,blocked,1,0.0,1
21,2,working,2,0.0,2
21,8,working,2,0.0,2
21,9,blocked,1,0.0,2
21,13,blocked,1,0.0,2
21,14,blocked,1,0.0,2
21,3,working,2,0.0,3
21,6,working,2,0.0,3
22,0,working,2,0.0,0
22,7,blocked,1,0.0,0
22,10,blocked,1,0.0,0
22,11,blocked,1,0.0,0
22,1,working,2,0.0,1
22,4,working,2,0.0,1
22,5,blocked,1,0.0,1
22,12,blocked,1,0.0,1
22,2,working,2,0.0,2
22,8,working,2,0.0,2
22,9,blocked,1,0.0,2
22,13,blocked,1,0.0,2
22,14,blocked,1,0.0,2
22,3,working,2,0.0,3
22,6,working,2,0.0,3
23,0,working,2,0.0,0
23,7,working,2,0.0,0
23,10,blocked,1,0.0,0
23,11,blocked,1,0.0,0
23,1,working,2,0.0,1
23,4,working,2,0.0,1
23,5,blocked,1,0.0,1
23,12,blocked,1,0.0,1
23,2,working,2,0.0,2
23,8,working,2,0.0,2
23,9,blocked,1,0.0,2
23,13,blocked,1,0.0,2
